index,creation_date,status,completion_date,surface_type,graffiti_spot,address,zipcode,ward,police_district,community_area,latitude,longitude,location
18-01134905,04/05/2018,Completed,04/05/2018,Metal - Painted,Front,358 W VAN BUREN ST,60607,42,1,32,41.8769152122516,-87.6368338119178,"(41.876915212252, -87.636833811918)"
18-02907401,10/12/2018,Completed,10/15/2018,Metal - Painted,Alley,5077 N LINCOLN AVE,60625,40,20,4,41.973871587893,-87.6917898382872,"(41.973871587893, -87.691789838287)"
17-05939123,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Front,3708 S WESTERN AVE,60609,12,9,59,41.82619864655351,-87.68505888042921,"(41.826198646554, -87.685058880429)"
17-05916869,09/06/2017,Completed,09/07/2017,Wood - Painted,Rear,5759 W BYRON ST,60634,38,16,15,41.9511650487573,-87.7716987459395,"(41.951165048757, -87.771698745939)"
18-02914212,10/13/2018,Completed,10/15/2018,Aluminum Siding,Garage,2263 N MARMORA AVE,60639,36,25,19,41.9219506643273,-87.7730695233672,"(41.921950664327, -87.773069523367)"
17-05913748,09/06/2017,Completed,09/07/2017,Brick - Unpainted,Side,4304 W 55TH ST,60632,23,8,62,41.7932448356378,-87.7307606789367,"(41.793244835638, -87.730760678937)"
17-05943302,09/07/2017,Completed,09/07/2017,Metal - Painted,Pole,1858 N HALSTED ST,60614,43,18,7,41.9154760812525,-87.6485490184053,"(41.915476081253, -87.648549018405)"
17-05942149,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Newspaper Box,3733 W LAWRENCE AVE,60625,35,17,14,41.968196474029206,-87.7221238175327,"(41.968196474029, -87.722123817533)"
18-01132378,04/05/2018,Completed,04/05/2018,Brick - Painted,Pole,27 S WELLS ST,60606,42,1,32,41.88111194854039,-87.63365855595009,"(41.88111194854, -87.63365855595)"
17-05940422,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Sign,5701 N KIMBALL AVE,60659,39,17,13,41.984917281456106,-87.7136665436982,"(41.984917281456, -87.713666543698)"
17-05925241,09/06/2017,Completed,09/07/2017,Aluminum Siding,Rear,3934 S CAMPBELL AVE,60632,12,9,58,41.8218602941196,-87.687416666237,"(41.82186029412, -87.687416666237)"
17-05835175,09/01/2017,Completed,09/07/2017,Brick - Unpainted,Front,2815 W 22ND PL,60623,12,10,30,41.8508682003402,-87.69606751528099,"(41.85086820034, -87.696067515281)"
18-01134159,04/05/2018,Completed,04/05/2018,Brick - Unpainted,Pole,3848 W DIVERSEY AVE,60647,30,25,21,41.9319370020957,-87.7240804767487,"(41.931937002096, -87.724080476749)"
18-01115768,04/03/2018,Completed,04/05/2018,Metal - Unpainted,Sign,2701 S HOMAN AVE,60623,22,10,30,41.8425334523015,-87.7097131240251,"(41.842533452302, -87.709713124025)"
17-05932740,09/06/2017,Completed,09/07/2017,Other/Unknown Surface,Garbage Cart,2541 W MELROSE ST,60618,47,19,5,41.9405943499864,-87.69233559682871,"(41.940594349986, -87.692335596829)"
17-05923618,09/06/2017,Completed,09/07/2017,Metal - Painted,Traffic Control Box,4735 N LINCOLN AVE,60625,47,19,4,41.9675978870849,-87.6877419519708,"(41.967597887085, -87.687741951971)"
17-05942198,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Sign,3423 W MONTROSE AVE,60618,35,17,16,41.961006438966606,-87.7141302145851,"(41.961006438967, -87.714130214585)"
17-05942366,09/07/2017,Completed,09/07/2017,Metal - Painted,Newspaper Box,4503 N KEDZIE AVE,60625,33,17,14,41.963156794166004,-87.70815959668909,"(41.963156794166, -87.708159596689)"
18-02923262,10/15/2018,Completed,10/15/2018,Metal - Unpainted,Sign,2158 W ROSCOE ST,60618,32,19,5,41.9432680157159,-87.6832437506283,"(41.943268015716, -87.683243750628)"
17-05943059,09/07/2017,Completed,09/07/2017,Metal - Painted,Dumpster,2107 W JARVIS AVE,60645,49,24,1,42.0150386883478,-87.6837906146407,"(42.015038688348, -87.683790614641)"
17-05924049,09/06/2017,Completed,09/07/2017,Wood - Painted,Front,2159 W 21ST PL,60608,25,12,31,41.8529113773351,-87.68063964110969,"(41.852911377335, -87.68063964111)"
17-05896979,09/05/2017,Completed,09/07/2017,Metal - Painted,Traffic Control Box,2839 N OB KENNEDY EXPY,60618,33,14,21,41.9332935780363,-87.6967093916035,"(41.933293578036, -87.696709391603)"
18-01132260,04/05/2018,Completed,04/05/2018,Metal - Painted,Pole,1 S FRANKLIN ST,60606,42,1,32,41.8819027505059,-87.6351640597954,"(41.881902750506, -87.635164059795)"
17-05942765,09/07/2017,Completed,09/07/2017,Brick - Unpainted,Front,3255 W LAWRENCE AVE,60625,33,17,14,41.9683217369493,-87.71069998918578,"(41.968321736949, -87.710699989186)"
17-05929221,09/06/2017,Completed,09/07/2017,Metal - Painted,Front,1216 W COLUMBIA AVE,60626,49,24,1,42.00463033959151,-87.6615917603043,"(42.004630339592, -87.661591760304)"
17-05942396,09/07/2017,Completed,09/07/2017,Metal - Painted,Pole,4600 N KEDZIE AVE,60625,33,17,14,41.96474029214609,-87.70850367911709,"(41.964740292146, -87.708503679117)"
17-05916866,09/06/2017,Completed,09/07/2017,Metal - Painted,Fence,2219 W RICE ST,60622,2,12,24,41.8966241268815,-87.6827765379801,"(41.896624126881, -87.68277653798)"
17-05943594,09/07/2017,Completed,09/07/2017,Metal - Painted,Pole,1848 N HALSTED ST,60614,43,18,7,41.9152101020177,-87.64853900810301,"(41.915210102018, -87.648539008103)"
17-05943101,09/07/2017,Completed,09/07/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1001 W IRVING PARK RD,60613,46,19,6,41.9543774368068,-87.65462131830141,"(41.954377436807, -87.654621318301)"
18-01107997,04/03/2018,Completed,04/05/2018,Brick - Painted,Front,5700 S CENTRAL PARK AVE,60629,23,8,62,41.78967426068721,-87.7136179657176,"(41.789674260687, -87.713617965718)"
17-05942995,09/07/2017,Completed,09/07/2017,Metal - Unpainted,Sign,2134 W SUNNYSIDE AVE,60625,47,19,4,41.9633392367771,-87.6821035134101,"(41.963339236777, -87.68210351341)"
17-05938955,09/07/2017,Completed,09/07/2017,Brick - Painted,Front,149 E GRAND AVE,60611,42,18,8,41.891635888605705,-87.62352718389099,"(41.891635888606, -87.623527183891)"
17-05927385,09/06/2017,Completed,09/07/2017,Brick - Unpainted,Garage,10158 S INDIANAPOLIS AVE,60617,10,4,52,41.710678039144604,-87.53316198095791,"(41.710678039145, -87.533161980958)"
18-01133660,04/05/2018,Completed,04/05/2018,Brick - Painted,Front,4945 S CALIFORNIA AVE,60632,14,9,58,41.8032551630389,-87.6939189685997,"(41.803255163039, -87.6939189686)"
17-05923191,09/06/2017,Completed,09/07/2017,Other/Unknown Surface,Front,952 W 32ND PL,60608,11,9,60,41.835716026873996,-87.6507371717335,"(41.835716026874, -87.650737171733)"
