index,creation_date,status,completion_date,surface_type,graffiti_spot,address,zipcode,ward,police_district,community_area,latitude,longitude,location
17-05309002,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,3125 W CHICAGO AVE,60622,27,12,23,41.8954559401864,-87.70528996955808,"(41.895455940186, -87.705289969558)"
17-05290703,08/08/2017,Completed,08/09/2017,Wood - Painted,Front,1021 W LAKE ST,60607,27,12,28,41.885457345455606,-87.6530689294261,"(41.885457345456, -87.653068929426)"
17-05303917,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,1654 S BLUE ISLAND AVE,60608,25,12,31,41.85837029523369,-87.6609009052439,"(41.858370295234, -87.660900905244)"
17-05309457,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,2102 N KEDZIE AVE,60647,26,14,22,41.9193554632069,-87.70718631114971,"(41.919355463207, -87.70718631115)"
17-05304812,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Front,905 N HALSTED ST,60642,27,18,8,41.899161257139895,-87.64773502489359,"(41.89916125714, -87.647735024894)"
17-05306315,08/09/2017,Completed,08/09/2017,Brick - Painted,Front,558 W POLK ST,60607,25,1,28,41.872107534506604,-87.6417464183893,"(41.872107534507, -87.641746418389)"
17-05303269,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,359 N LA SALLE DR,60654,42,18,8,41.8891645913349,-87.63237745274022,"(41.889164591335, -87.63237745274)"
17-05306819,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Side,1002 W 18TH ST,60608,25,12,31,41.8581294075427,-87.65169592721242,"(41.858129407543, -87.651695927212)"
17-05306108,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Garage,6000 S CALIFORNIA AVE,60629,16,8,66,41.784489636567294,-87.6936875431742,"(41.784489636567, -87.693687543174)"
17-05305849,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,5312 S WESTERN AVE,60609,15,9,63,41.7970634538962,-87.684264934081,"(41.797063453896, -87.684264934081)"
17-05311117,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Sign,1659 S PAULINA ST,60608,25,12,31,41.8587166016558,-87.6685331810196,"(41.858716601656, -87.66853318102)"
17-05313260,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,8760 S WINCHESTER AVE,60620,21,22,71,41.7340007224982,-87.6700800115608,"(41.734000722498, -87.670080011561)"
17-05309471,08/09/2017,Completed,08/09/2017,Metal - Painted,Garage,1730 W WOLFRAM ST,60657,32,19,6,41.9333589319265,-87.6722590866843,"(41.933358931926, -87.672259086684)"
17-05309250,08/09/2017,Completed,08/09/2017,Metal - Painted,Door,2515 S LAWNDALE AVE,60623,22,10,30,41.84570231744849,-87.7171195804815,"(41.845702317449, -87.717119580481)"
17-05303386,08/09/2017,Completed,08/09/2017,Metal - Painted,Dumpster,2356 W CHICAGO AVE,60622,1,12,24,41.8958561205893,-87.6866474881748,"(41.895856120589, -87.686647488175)"
17-05305295,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,2299 W 37TH ST,60609,12,9,59,41.8265537057825,-87.68351925538809,"(41.826553705783, -87.683519255388)"
17-05303632,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1512 W LAKE ST,60607,27,12,28,41.8854821013933,-87.66480782633751,"(41.885482101393, -87.664807826337)"
17-05286619,08/08/2017,Completed,08/09/2017,Brick - Unpainted,Front,2315 W 36TH ST,60609,12,9,59,41.828367372574,-87.6832223639382,"(41.828367372574, -87.683222363938)"
18-02885808,10/10/2018,Completed,10/11/2018,Metal - Unpainted,Pole,8044 S WESTERN AVE,60620,18,8,70,41.7469281456614,-87.6829199497618,"(41.746928145661, -87.682919949762)"
17-05306911,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Rear,3150 S ASHLAND AVE,60608,12,9,59,41.8362809312006,-87.66585560799109,"(41.836280931201, -87.665855607991)"
17-05308895,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,3508 W OGDEN AVE,60623,24,10,29,41.8554039153532,-87.7130228862767,"(41.855403915353, -87.713022886277)"
18-02863416,10/08/2018,Completed,10/11/2018,"Cement (Sidewalk, Alley, Wall, Curb)",Side,535 E 79TH ST,60619,6,6,44,41.751072467057,-87.6111447228241,"(41.751072467057, -87.611144722824)"
17-05305011,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,1103 W GRAND AVE,60642,27,12,24,41.8909976391271,-87.6547725026918,"(41.890997639127, -87.654772502692)"
17-05304539,08/09/2017,Completed,08/09/2017,Metal - Painted,Traffic Control Box,451 W WASHINGTON ST,60606,42,1,28,41.883071247795,-87.6396866513573,"(41.883071247795, -87.639686651357)"
17-05304416,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,2319 S BLUE ISLAND AVE,60608,25,10,31,41.8499717844715,-87.6716951894493,"(41.849971784471, -87.671695189449)"
18-02894452,10/11/2018,Completed,10/11/2018,Brick - Unpainted,Side,3054 N MILWAUKEE AVE,60618,30,25,21,41.9365862925878,-87.719963529893,"(41.936586292588, -87.719963529893)"
17-05304099,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,1626 S BLUE ISLAND AVE,60608,25,12,31,41.8590491367957,-87.66031304944,"(41.859049136796, -87.66031304944)"
17-05305530,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,3501 S ARCHER AVE,60609,12,9,59,41.8302420154799,-87.6776858113821,"(41.83024201548, -87.677685811382)"
17-05287740,08/08/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1459 N CLEAVER ST,60642,2,14,24,41.908763849941,-87.66385525540831,"(41.908763849941, -87.663855255408)"
18-02894476,10/11/2018,Completed,10/11/2018,Metal - Unpainted,Front,3050 N MILWAUKEE AVE,60618,30,25,21,41.9365279037546,-87.7198669286702,"(41.936527903755, -87.71986692867)"
17-05303637,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Front,1508 W LAKE ST,60607,27,12,28,41.885484781436894,-87.66465147832591,"(41.885484781437, -87.664651478326)"
17-05278083,08/08/2017,Completed,08/09/2017,Aluminum Siding,Garage,6449 S TROY ST,60629,17,8,66,41.775716729246604,-87.7016865247271,"(41.775716729247, -87.701686524727)"
17-05306388,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Viaduct,800 W KINZIE ST,60642,27,12,24,41.889159057918,-87.64760375455191,"(41.889159057918, -87.647603754552)"
18-02878470,10/09/2018,Completed,10/11/2018,Other / Unknown Surface,Alley,3356 S ASHLAND AVE,60608,12,9,59,41.8324483166005,-87.6657538227003,"(41.8324483166, -87.6657538227)"
17-05309802,08/09/2017,Completed,08/09/2017,Brick - Painted,Rear,4328 S KEDZIE AVE,60632,14,8,58,41.8145666678954,-87.704376049077,"(41.814566667895, -87.704376049077)"
17-05285964,08/08/2017,Completed,08/09/2017,Brick - Unpainted,Rear,1808 N CLYBOURN AVE,60614,2,18,7,41.9138316352814,-87.65379933488441,"(41.913831635281, -87.653799334884)"
17-05305164,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Garage,2442 S TROY ST,60623,12,10,30,41.8468858782116,-87.7040243823176,"(41.846885878212, -87.704024382318)"
17-05310022,08/09/2017,Completed,08/09/2017,Brick - Painted,Garage,3324 S JUSTINE ST,60608,12,9,59,41.8334196746123,-87.66451860451059,"(41.833419674612, -87.664518604511)"
17-05305071,08/09/2017,Completed,08/09/2017,Metal - Painted,Alley,441 N LA SALLE DR,60654,42,18,8,41.890404297484096,-87.632406111264,"(41.890404297484, -87.632406111264)"
17-05291125,08/08/2017,Completed,08/09/2017,Wood - Painted,Fence,2339 W NORTH AVE,60647,1,14,24,41.91022517185,-87.68631054834542,"(41.91022517185, -87.686310548345)"
17-05304465,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,2329 S BLUE ISLAND AVE,60608,25,10,31,41.849809032172,-87.672118372591,"(41.849809032172, -87.672118372591)"
17-05312620,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,5348 S ASHLAND AVE,60609,16,9,61,41.7962228575109,-87.66479195162941,"(41.796222857511, -87.664791951629)"
17-05304008,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,1616 S BLUE ISLAND AVE,60608,25,12,31,41.8592927896474,-87.66010463390042,"(41.859292789647, -87.6601046339)"
17-05292197,08/08/2017,Completed,08/09/2017,Metal - Painted,Pole,109 W ELM ST,60610,2,18,8,41.90302091958579,-87.6318260994471,"(41.903020919586, -87.631826099447)"
18-02872791,10/09/2018,Completed,10/11/2018,Aluminum Siding,Garage,513 W 127TH ST,60628,9,5,53,41.6631568001756,-87.6346006257415,"(41.663156800176, -87.634600625741)"
17-05309603,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Front,329 N LAKE SHORE DR,60601,42,1,32,41.88710752230379,-87.6138451942726,"(41.887107522304, -87.613845194273)"
18-02897435,10/11/2018,Completed,10/11/2018,Brick - Unpainted,Side,2426 W NORTH AVE,60647,1,14,24,41.910416259296,-87.68838386253029,"(41.910416259296, -87.68838386253)"
17-05309604,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,3900 S WESTERN AVE,60609,12,9,58,41.82295429411369,-87.68501298600599,"(41.822954294114, -87.685012986006)"
18-02882734,10/10/2018,Completed,10/11/2018,Brick - Unpainted,Side,3815 S KEDZIE AVE,60632,12,9,58,41.823886400058704,-87.7042872534681,"(41.823886400059, -87.704287253468)"
17-05310767,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,1816 W 35TH ST,60609,12,9,59,41.830549426571004,-87.6710928357156,"(41.830549426571, -87.671092835716)"
17-05296552,08/08/2017,Completed,08/09/2017,Metal - Painted,Alley,7449 N HOYNE AVE,60645,49,24,1,42.017298839064495,-87.6828485996273,"(42.017298839065, -87.682848599627)"
17-05307919,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,5358 S ASHLAND AVE,60609,16,9,61,41.795941174924295,-87.6647848842251,"(41.795941174924, -87.664784884225)"
17-05309224,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,4448 N CENTRAL AVE,60630,38,16,15,41.9619950136663,-87.767437056477,"(41.961995013666, -87.767437056477)"
17-05306470,08/09/2017,Completed,08/09/2017,Other / Unknown Surface,Front,932 N RUSH ST,60611,42,18,8,41.900035302202895,-87.6273329229237,"(41.900035302203, -87.627332922924)"
17-05306151,08/09/2017,Completed,08/09/2017,Metal - Painted,Sign,3000 S PULASKI RD,60623,22,10,30,41.83862884726151,-87.7245446928327,"(41.838628847262, -87.724544692833)"
17-05285533,08/08/2017,Completed,08/09/2017,Metal - Painted,Side,2659 S ST LOUIS AVE,60623,22,10,30,41.8426797928167,-87.7121567412219,"(41.842679792817, -87.712156741222)"
17-05304805,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Front,901 N HALSTED ST,60642,27,18,8,41.899058437490794,-87.6477304952329,"(41.899058437491, -87.647730495233)"
17-05311833,08/09/2017,Completed,08/09/2017,Wood - Unpainted,Front,4512 S KEDZIE AVE,60632,14,8,58,41.8112744002121,-87.7042437351963,"(41.811274400212, -87.704243735196)"
17-05307739,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Sign,4500 S MARSHFIELD AVE,60609,15,9,61,41.8121341286969,-87.66644280247671,"(41.812134128697, -87.666442802477)"
18-02886939,10/10/2018,Completed,10/11/2018,Vinyl Siding,Front,2314 S CALIFORNIA AVE,60608,12,10,30,41.849556305871694,-87.6955276180193,"(41.849556305872, -87.695527618019)"
17-05309652,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,3801 S ARCHER AVE,60632,12,9,58,41.8242931478894,-87.6873550175527,"(41.824293147889, -87.687355017553)"
17-05309834,08/09/2017,Completed,08/09/2017,Brick - Painted,Side,4332 S KEDZIE AVE,60632,14,8,58,41.8144545976418,-87.7043703657881,"(41.814454597642, -87.704370365788)"
17-05306881,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,306 N HALSTED ST,60661,27,12,28,41.8870246460674,-87.6476595431962,"(41.887024646067, -87.647659543196)"
18-02892985,10/11/2018,Completed,10/11/2018,Metal - Unpainted,Traffic Control Box,3027 N WESTERN AVE,60618,32,19,5,41.9366922406116,-87.6878455830015,"(41.936692240612, -87.687845583001)"
17-05313402,08/09/2017,Completed,08/09/2017,Metal - Painted,Dumpster,7620 S PULASKI RD,60652,18,8,65,41.754279939058705,-87.72228292561,"(41.754279939059, -87.72228292561)"
17-05305100,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,720 S DESPLAINES ST,60607,25,1,28,41.8728888216701,-87.6439893317627,"(41.87288882167, -87.643989331763)"
17-05292731,08/08/2017,Completed,08/09/2017,Marble/Granite,Door,2774 N MILWAUKEE AVE,60647,35,14,22,41.931527478210505,-87.7116712244413,"(41.931527478211, -87.711671224441)"
17-05289975,08/08/2017,Completed,08/09/2017,Brick - Unpainted,Side,5144 S ARCHER AVE,60632,14,8,57,41.800552524665505,-87.73158183199881,"(41.800552524665, -87.731581831999)"
17-05312092,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Pole,3000 W 83RD ST,60652,18,8,70,41.7426861776147,-87.69737078678601,"(41.742686177615, -87.697370786786)"
17-05307633,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Front,361 W ERIE ST,60654,42,18,8,41.8938313863106,-87.63792597759421,"(41.893831386311, -87.637925977594)"
17-05239000,08/07/2017,Completed,08/09/2017,Wood - Painted,Garage,1154 W 18TH ST,60608,25,12,31,41.8580778008862,-87.65556245703121,"(41.858077800886, -87.655562457031)"
17-05307137,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,2821 W 55TH ST,60632,16,8,63,41.7935641448039,-87.6947705367495,"(41.793564144804, -87.694770536749)"
17-05308802,08/09/2017,Completed,08/09/2017,Metal - Painted,Dumpster,1434 W TAYLOR ST,60607,28,12,28,41.869427533632,-87.66302278334759,"(41.869427533632, -87.663022783348)"
17-05305057,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,200 W GRAND AVE,60654,42,18,8,41.8916961120632,-87.6341459050355,"(41.891696112063, -87.634145905035)"
17-05302424,08/09/2017,Completed,08/09/2017,Metal - Painted,Sign,4351 S CICERO AVE,60632,22,8,56,41.8134180977651,-87.7431676618606,"(41.813418097765, -87.743167661861)"
17-05304992,08/09/2017,Completed,08/09/2017,Metal - Painted,Dumpster,1629 N MILWAUKEE AVE,60647,2,14,24,41.911084103974,-87.6783324127535,"(41.911084103974, -87.678332412753)"
17-05312558,08/09/2017,Completed,08/09/2017,Brick - Painted,Front,5344 S ASHLAND AVE,60609,16,9,61,41.796336401328,-87.66479484599579,"(41.796336401328, -87.664794845996)"
18-02893870,10/11/2018,Completed,10/11/2018,Metal - Painted,Phone Box,3140 N MILWAUKEE AVE,60618,30,25,21,41.937919238282596,-87.72215326842671,"(41.937919238283, -87.722153268427)"
17-05305839,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,2614 W 42ND ST,60632,12,9,58,41.8175436916775,-87.6901962720289,"(41.817543691677, -87.690196272029)"
17-05303552,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,1522 S ASHLAND AVE,60608,28,12,28,41.8607454208661,-87.66637343112741,"(41.860745420866, -87.666373431127)"
17-05289368,08/08/2017,Completed,08/09/2017,Brick - Painted,Viaduct,1900 N ASHLAND AVE,60622,32,14,22,41.9161472809527,-87.66794735350442,"(41.916147280953, -87.667947353504)"
18-02886721,10/10/2018,Completed,10/11/2018,Brick - Painted,Alley,6321 S ALBANY AVE,60629,17,8,66,41.7783523269444,-87.7005386384393,"(41.778352326944, -87.700538638439)"
17-05298364,08/08/2017,Completed,08/09/2017,Aluminum Siding,Garage,5957 W BYRON ST,60634,38,16,15,41.951102075517504,-87.7765068724287,"(41.951102075517, -87.776506872429)"
17-05302733,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,3797 S ARCHER AVE,60632,12,9,58,41.824386755590304,-87.687216150772,"(41.82438675559, -87.687216150772)"
18-02882736,10/10/2018,Completed,10/11/2018,Brick - Unpainted,Side,1406 W WAVELAND AVE,60613,44,19,6,41.9489939170879,-87.66438250327391,"(41.948993917088, -87.664382503274)"
17-05305952,08/09/2017,Completed,08/09/2017,Wood - Painted,Front,3902 S ARCHER AVE,60632,12,9,58,41.8228676335754,-87.6901649979673,"(41.822867633575, -87.690164997967)"
17-05305562,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,2360 S ASHLAND AVE,60608,25,10,31,41.8486659103254,-87.66611818513229,"(41.848665910325, -87.666118185132)"
17-05302805,08/09/2017,Completed,08/09/2017,Glass,Front,3614 W 26TH ST,60623,22,10,30,41.8444847516027,-87.7154927650439,"(41.844484751603, -87.715492765044)"
17-05307234,08/09/2017,Completed,08/09/2017,Metal - Painted,Traffic Control Box,625 W FULTON ST,60661,42,12,28,41.8866963529499,-87.64393665932569,"(41.88669635295, -87.643936659326)"
17-05309209,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,4504 N CENTRAL AVE,60630,38,16,15,41.9625150333339,-87.76745483459361,"(41.962515033334, -87.767454834594)"
17-05305759,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,3422 S ASHLAND AVE,60608,12,9,59,41.831620094975705,-87.66573490664629,"(41.831620094976, -87.665734906646)"
17-05305663,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Side,1221 W 19TH ST,60608,25,12,31,41.8560118917402,-87.65727410572451,"(41.85601189174, -87.657274105725)"
17-05307280,08/09/2017,Completed,08/09/2017,Wood - Painted,Fence,200 N GREEN ST,60607,27,12,28,41.8856991971634,-87.64878908937919,"(41.885699197163, -87.648789089379)"
17-05302414,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Front,1600 S WOLCOTT AVE,60608,25,12,31,41.859469275605,-87.6737446688352,"(41.859469275605, -87.673744668835)"
17-05303193,08/09/2017,Completed,08/09/2017,Wood - Painted,Bench,501 N DEARBORN ST,60654,42,18,8,41.890875368291795,-87.6294822219816,"(41.890875368292, -87.629482221982)"
17-05291411,08/08/2017,Completed,08/09/2017,Wood - Unpainted,Alley,2509 W CORTLAND ST,60647,1,14,22,41.9156266551528,-87.6902316460244,"(41.915626655153, -87.690231646024)"
17-05308934,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,1920 S WESTERN AVE,60608,28,10,31,41.8550312197097,-87.68586660542101,"(41.85503121971, -87.685866605421)"
17-05302813,08/09/2017,Completed,08/09/2017,Brick - Painted,Front,3001 S KEDVALE AVE,60623,22,10,30,41.838614467915605,-87.7278969391625,"(41.838614467916, -87.727896939162)"
17-05308426,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,534 N LAKE SHORE DR,60611,42,18,8,41.892137023091,-87.6145761640192,"(41.892137023091, -87.614576164019)"
17-05308653,08/09/2017,Completed,08/09/2017,Metal - Painted,Mail Box,4455 N CENTRAL AVE,60630,38,16,15,41.9621849506316,-87.76714876405322,"(41.962184950632, -87.767148764053)"
17-05296777,08/08/2017,Completed,08/09/2017,Metal - Painted,Alley,4110 N SPRINGFIELD AVE,60618,39,17,16,41.9558819950292,-87.72537821333141,"(41.955881995029, -87.725378213331)"
17-05302601,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Sign,1764 N CLYBOURN AVE,60614,2,18,7,41.9131683910138,-87.6528709016333,"(41.913168391014, -87.652870901633)"
18-02861062,10/07/2018,Completed,10/11/2018,Brick - Unpainted,Side,3520 S WESTERN AVE,60609,12,9,59,41.8296194461428,-87.68515964948391,"(41.829619446143, -87.685159649484)"
17-05310900,08/09/2017,Completed,08/09/2017,Metal - Unpainted,Mail Box,5458 S HYDE PARK BLVD,60615,5,2,41,41.7964435722065,-87.5841258097646,"(41.796443572206, -87.584125809765)"
18-02889980,10/10/2018,Completed,10/11/2018,Metal - Painted,Sign,212 E JACKSON DR,60604,42,1,32,41.8784234481475,-87.621958802912,"(41.878423448147, -87.621958802912)"
17-05313038,08/09/2017,Completed,08/09/2017,Metal - Painted,Front,1834 W 88TH ST,60620,21,22,71,41.7339964096099,-87.66928587853941,"(41.73399640961, -87.669285878539)"
18-02881061,10/10/2018,Completed,10/11/2018,Metal - Painted,Pole,1216 W ROSEDALE AVE,60660,48,20,77,41.9891663792873,-87.66101418611,"(41.989166379287, -87.66101418611)"
17-05290611,08/08/2017,Completed,08/09/2017,Brick - Unpainted,Garage,8012 S MARQUETTE AVE,60617,7,4,46,41.749580122932,-87.5590653953714,"(41.749580122932, -87.559065395371)"
17-05304734,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,2428 W CERMAK RD,60608,28,10,31,41.8521295094204,-87.68688120089581,"(41.85212950942, -87.686881200896)"
17-05308879,08/09/2017,Completed,08/09/2017,Brick - Painted,Pole,4607 N CENTRAL AVE,60630,45,16,15,41.9644417101103,-87.7672247679002,"(41.96444171011, -87.7672247679)"
17-05297391,08/08/2017,Completed,08/09/2017,Brick - Unpainted,Front,1542 W FULTON ST,60607,27,12,28,41.8866301936781,-87.6659602861174,"(41.886630193678, -87.665960286117)"
17-05276999,08/08/2017,Completed,08/09/2017,Metal - Painted,Traffic Control Box,51 W DIVISION ST,60610,2,18,8,41.9038060145407,-87.6305811311762,"(41.903806014541, -87.630581131176)"
17-05303031,08/09/2017,Completed,08/09/2017,Metal - Painted,Overpass,251 N LA SALLE ST,60610,42,1,32,41.8870088472533,-87.6323398031892,"(41.887008847253, -87.632339803189)"
17-05307982,08/09/2017,Completed,08/09/2017,Brick - Painted,Front,3558 S HONORE ST,60609,12,9,59,41.82869465589009,-87.6717186180625,"(41.82869465589, -87.671718618062)"
18-02884688,10/10/2018,Completed,10/11/2018,"Cement (Sidewalk, Alley, Wall, Curb)",Side,2650 W 51ST ST,60632,14,9,63,41.8011472828412,-87.6911632994236,"(41.801147282841, -87.691163299424)"
17-05303382,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,200 W DIVISION ST,60610,2,18,8,41.903962496229894,-87.6345551205969,"(41.90396249623, -87.634555120597)"
17-05302947,08/09/2017,Completed,08/09/2017,Marble/Granite,Front,120 W RANDOLPH ST,60601,42,1,32,41.88458464473911,-87.6315733958435,"(41.884584644739, -87.631573395843)"
17-05306096,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Viaduct,2500 W 35TH ST,60632,12,9,59,41.83034738243449,-87.68739209867691,"(41.830347382435, -87.687392098677)"
17-05305045,08/09/2017,Completed,08/09/2017,Metal - Painted,Traffic Control Box,534 N WELLS ST,60654,42,18,8,41.89177007150921,-87.6342208454403,"(41.891770071509, -87.63422084544)"
17-05307834,08/09/2017,Completed,08/09/2017,Brick - Painted,Garage,13120 S AVENUE O,60633,10,4,55,41.6566587595817,-87.54003336694021,"(41.656658759582, -87.54003336694)"
17-05309560,08/09/2017,Completed,08/09/2017,Brick - Unpainted,Overpass,328 N LAKE SHORE DR,60601,42,1,32,41.887092072912395,-87.61413825449041,"(41.887092072912, -87.61413825449)"
17-05309477,08/09/2017,Completed,08/09/2017,Metal - Painted,Newspaper Box,3964 W GRAND AVE,60651,26,25,23,41.906196318506105,-87.7261975926149,"(41.906196318506, -87.726197592615)"
17-05293835,08/08/2017,Completed,08/09/2017,Metal - Painted,Alley,1256 W DEVON AVE,60660,49,24,1,41.998271983710204,-87.6629185702464,"(41.99827198371, -87.662918570246)"
17-05304780,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Rear,2424 W CERMAK RD,60608,28,10,31,41.8521319998208,-87.6867203351891,"(41.852131999821, -87.686720335189)"
18-02888670,10/10/2018,Completed,10/11/2018,Brick - Unpainted,Front,1300 W 111TH ST,60643,34,22,75,41.6923196265895,-87.6546632113255,"(41.692319626589, -87.654663211325)"
17-05302737,08/09/2017,Completed,08/09/2017,Brick - Painted,Front,2859 S TRIPP AVE,60623,22,10,30,41.83874834960721,-87.7303325766008,"(41.838748349607, -87.730332576601)"
17-05297613,08/08/2017,Completed,08/09/2017,Metal - Unpainted,Dumpster,2227 N ORCHARD ST,60614,43,18,7,41.922732916681696,-87.64609690108101,"(41.922732916682, -87.646096901081)"
17-05289184,08/08/2017,Completed,08/09/2017,Wood - Painted,Garage,3921 W 61ST ST,60629,23,8,65,41.7822098566921,-87.7213185624374,"(41.782209856692, -87.721318562437)"
17-05305006,08/09/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Side,1207 W GRAND AVE,60642,27,12,24,41.8909673475834,-87.65772689578209,"(41.890967347583, -87.657726895782)"
17-05287031,08/08/2017,Completed,08/09/2017,"Cement (Sidewalk, Alley, Wall, Curb)",Viaduct,3651 S ALBANY AVE,60632,12,9,58,41.8264939589835,-87.70190359589729,"(41.826493958983, -87.701903595897)"
17-05291043,08/08/2017,Completed,08/09/2017,Metal - Painted,Fence,1510 N HOYNE AVE,60622,2,14,24,41.908578496884296,-87.6800014338627,"(41.908578496884, -87.680001433863)"
17-05292559,08/08/2017,Completed,08/09/2017,Other / Unknown Surface,Front,2104 E 73RD ST,60649,5,3,43,41.7626550596141,-87.5735063474263,"(41.762655059614, -87.573506347426)"
17-05309393,08/09/2017,Completed,08/09/2017,Brick - Painted,Dumpster,2641 N KEDZIE AVE,60647,32,14,22,41.9296426088909,-87.70722415405442,"(41.929642608891, -87.707224154054)"
17-05307784,08/09/2017,Completed,08/09/2017,Metal - Painted,Traffic Control Box,1820 W 35TH ST,60609,12,9,59,41.8305473044093,-87.6712503715836,"(41.830547304409, -87.671250371584)"
17-05276585,08/08/2017,Completed,08/09/2017,Wood - Painted,Front,6946 N WESTERN AVE,60645,50,24,2,42.00821630749321,-87.690297549637,"(42.008216307493, -87.690297549637)"
18-02895652,10/11/2018,Completed,10/11/2018,Vinyl Siding,Side,5858 W FULLERTON AVE,60639,30,25,19,41.9239767850204,-87.7732278889418,"(41.92397678502, -87.773227888942)"
17-05305820,08/09/2017,Completed,08/09/2017,Metal - Painted,Pole,1932 W 35TH ST,60609,12,9,59,41.8305125120905,-87.67412451408241,"(41.83051251209, -87.674124514082)"
18-02876409,10/09/2018,Completed,10/11/2018,Brick - Painted,Fence,5343 S PULASKI RD,60632,23,8,62,41.79558973305849,-87.7230822756502,"(41.795589733058, -87.72308227565)"
18-02884016,10/10/2018,Completed,10/11/2018,Metal - Painted,Pole,154 W NORTH AVE,60610,2,18,7,41.9112716627644,-87.6338432254436,"(41.911271662764, -87.633843225444)"
18-02883549,10/10/2018,Completed,10/11/2018,Metal - Painted,Mail Box,5708 S LAWNDALE AVE,60629,23,8,62,41.789369042466,-87.7158489420204,"(41.789369042466, -87.71584894202)"
18-02897235,10/11/2018,Completed,10/11/2018,Brick - Unpainted,Side,2340 N WASHTENAW AVE,60647,1,14,22,41.9241347855444,-87.69574153129749,"(41.924134785544, -87.695741531297)"
18-02886994,10/10/2018,Completed,10/11/2018,Brick - Unpainted,Side,3201 S PULASKI RD,60623,22,10,30,41.8349759174548,-87.72416125284842,"(41.834975917455, -87.724161252848)"
18-02886317,10/10/2018,Completed,10/11/2018,Brick - Unpainted,Side,2200 W 37TH ST,60609,12,9,59,41.8267973174954,-87.68024648164659,"(41.826797317495, -87.680246481647)"
18-00313797,01/17/2018,Completed,01/17/2018,Metal - Painted,Dumpster,4750 N SHERIDAN RD,60640,46,19,3,41.9687525899191,-87.6549632626801,"(41.968752589919, -87.65496326268)"
