Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/30/2017,Completed,08/31/2017,17-05790376,Graffiti Removal,Brick - Unpainted,Side,4122 W GRAND AVE,60651,1148584.21382065,1909439.47457367,26,25,23,,41.90755830146250,-87.7295993702098,"(41.907558301463, -87.72959937021)"
08/31/2017,Completed,08/31/2017,17-05804525,Graffiti Removal,Brick - Unpainted,Front,2715 W LAKE ST,60612,1158214.2701969,1901084.39691741,27,12,27,,41.88421126348400,-87.6944872575158,"(41.884211263484, -87.694487257516)"
08/30/2017,Completed,08/31/2017,17-05797312,Graffiti Removal,Metal - Painted,Dumpster,2938 N BROADWAY,60657,1171738.90033385,1919938.22999588,44,19,6,8,41.93604870409680,-87.64440998140740,"(41.936048704097, -87.644409981407)"
08/30/2017,Completed,08/31/2017,17-05788538,Graffiti Removal,Metal - Painted,Pole,1754 W BALMORAL AVE,60640,1163449.39067258,1935900.6632282,40,20,77,,41.979859694674200,-87.67427781349590,"(41.979859694674, -87.674277813496)"
08/31/2017,Completed,08/31/2017,17-05807442,Graffiti Removal,Brick - Unpainted,Front,1531 N MILWAUKEE AVE,60622,1163177.52000098,1910275.36001124,1,14,24,33,41.90941757753030,-87.67573943784070,"(41.90941757753, -87.675739437841)"
08/30/2017,Completed,08/31/2017,17-05791247,Graffiti Removal,Brick - Unpainted,Side,537 N ASHLAND AVE,60622,1165629.82121332,1903863.81799621,1,12,24,,41.892147311293200,-87.6670294806272,"(41.892147311293, -87.667029480627)"
08/31/2017,Completed,08/31/2017,17-05808475,Graffiti Removal,Metal - Painted,Rear,3727 W 49TH ST,60632,1152247.73990945,1871877.65409083,14,8,57,39,41.804183279027500,-87.71728440988800,"(41.804183279028, -87.717284409888)"
08/31/2017,Completed,08/31/2017,17-05808615,Graffiti Removal,Brick - Unpainted,Front,2125 W PERSHING RD,60609,1162820.62857506,1878797.65190758,12,9,61,,41.82296028071300,-87.67816849766040,"(41.822960280713, -87.67816849766)"
08/31/2017,Completed,08/31/2017,17-05804770,Graffiti Removal,Brick - Painted,Overpass,620 W CHICAGO AVE,60654,1172014.00393435,1905616.04149301,27,18,8,,41.896571130597100,-87.64382792505230,"(41.896571130597, -87.643827925052)"
08/31/2017,Completed,08/31/2017,17-05804568,Graffiti Removal,Brick - Unpainted,Front,3801 S WOOD ST,60609,1164976.93672628,1879494.98171652,12,9,59,,41.82488591399190,-87.67010672721660,"(41.824885913992, -87.670106727217)"
